  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   Vind_,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   _Mach,ratio |   __VVI,__fpm |   Gload,norml |   Gload,axial |   Gload,_side |   sweep,1,deg |   sweep,2,deg |   sweep,h,deg |   _vect,ratio |   sweep,ratio |   incid,ratio |   dihed,ratio |   retra,ratio |   _trim,_elev |   _trim,ailrn |   _trim,ruddr |   _flap,handl |   _flap,postn |   _slat,ratio |   sbrak,handl |   sbrak,postn |   _gear,__0/1 |   wbrak,_part |   lbrak,_part |   rbrak,_part |   ____Q,__d/s |   ____P,__d/s |   ____R,__d/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   __mag,_comp |   mavar,__deg |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   ____X,____m |   ____Y,____m |   ____Z,____m |   ___vX,__m/s |   ___vY,__m/s |   ___vZ,__m/s |   _dist,___ft |   _dist,___nm |   alt_1,ftmsl |   alt_2,ftmsl |   alt_3,ftmsl |   alt_4,ftmsl |   alt_5,ftmsl |   alt_6,ftmsl |   alt_7,ftmsl |   alt_8,ftmsl |   thrst,_1,lb |   _fuel,_1_lb |   _fuel,_2_lb |   _fuel,_3_lb |   _fuel,_4_lb |   _fuel,_5_lb |   _fuel,_6_lb |   _fuel,_7_lb |   _fuel,_8_lb |   empty,___lb |   payld,___lb |   _fuel,totlb |   jetti,___lb |   curnt,___lb |   maxim,___lb |   ___cg,ftref |   _lift,___lb |   _drag,___lb |   _side,___lb |   norml,___lb |   axial,___lb |   _side,___lb |   _gear,___lb |   _gear,___lb |   _gear,___lb |   __L/D,ratio |   ___cl,total |   ___cd,total |   vert1,tvect |   latr1,tvect |   wing1,_lift |   wing1,_lift |   wing2,_lift |   wing2,_lift |   wing1,_drag |   wing1,_drag |   wing2,_drag |   wing2,_drag |   hstab,_lift |   hstab,_lift |   vstb1,_lift |   vstb2,_lift |   hstab,_drag |   hstab,_drag |   vstb1,_drag |   vstb2,_drag | 
    245.32069 |      44.29815 |       7.94328 |       0.00000 |      12.01231 |      13.01231 |     985.47321 |       2.87139 |       2.87885 |       2.95392 |       0.00020 |       3.30434 |       3.39931 |       0.00022 |       0.00450 |      -0.00005 |       0.99776 |       0.07022 |       0.00316 |       0.00000 |       2.50000 |       5.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       1.00000 |       1.00000 |       0.00000 |       0.00000 |      -0.01975 |      -0.00487 |       0.00000 |       2.26973 |      -0.01574 |     259.93314 |     259.16113 |     259.16006 |      -0.77201 |      -2.15901 |      -1.92688 |     180.00000 |       0.57513 |      -0.17973 |  -10814.67480 |     500.43826 |  -29134.48438 |       0.00000 |       0.00010 |       0.00000 |       0.00002 |       0.00000 |    1890.22839 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      62.05612 |      78.69879 |      78.75000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    1639.00000 |     298.00000 |     157.44879 |       0.00000 |    2094.44873 |    2550.00000 |       0.00000 |      -4.65848 |       2.09742 |       1.73090 |      -0.23446 |      62.05535 |       0.20448 |     465.17822 |     818.67859 |     810.86389 |      -2.22106 |      -0.80802 |       0.36380 |      -0.20000 |       0.20000 |       2.11884 |      -0.71030 |       0.25087 |       0.12294 |       0.08162 |       0.04015 |       0.00953 |       0.00827 |      -0.78144 |      -5.55716 |      -1.21150 |      -0.71111 |       0.08573 |       0.29594 |       0.11362 |       0.09591 | 
    245.42776 |      44.38976 |       8.03489 |       0.00000 |      12.01233 |      13.01233 |     985.47321 |       2.89613 |       2.90018 |       2.97581 |       0.00041 |       3.33280 |       3.42450 |       0.00047 |       0.00453 |       0.00224 |       0.99808 |       0.07024 |       0.00318 |       0.00000 |       2.50000 |       5.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       1.00000 |       1.00000 |       0.00000 |       0.00000 |      -0.02445 |      -0.00483 |       0.00000 |       2.26769 |      -0.01629 |     259.93314 |     259.16113 |     259.16006 |      -0.77201 |      -1.70090 |      -1.63476 |     180.00000 |       1.20264 |      -0.17566 |  -10814.67480 |     500.43826 |  -29134.48438 |       0.00000 |       0.00021 |       0.00000 |       0.00006 |       0.00000 |    1890.22839 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      62.24795 |      78.69879 |      78.75000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    1639.00000 |     298.00000 |     157.44879 |       0.00000 |    2094.44873 |    2550.00000 |       0.00000 |      -4.01196 |       2.04783 |       1.86918 |      -0.23554 |      62.24717 |       0.20607 |     465.95007 |     818.54041 |     810.24707 |      -1.95913 |      -0.68568 |       0.34999 |      -0.20000 |       0.20000 |       2.16036 |      -0.62302 |       0.29560 |       0.22364 |       0.08250 |       0.04000 |       0.01000 |       0.00895 |      -0.59386 |      -5.43066 |      -1.25257 |      -0.77449 |       0.08731 |       0.27972 |       0.11888 |       0.09865 | 
    245.53360 |      44.48469 |       8.12983 |       0.00000 |      12.01235 |      13.01235 |     985.47321 |       2.87893 |       2.87195 |       2.94684 |       0.00082 |       3.31301 |       3.39116 |       0.00094 |       0.00448 |       0.00767 |       0.99812 |       0.07033 |       0.00358 |       0.00000 |       2.50000 |       5.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       1.00000 |       1.00000 |       0.00000 |       0.00000 |      -0.04292 |      -0.00301 |       0.00000 |       2.26446 |      -0.01669 |     259.93314 |     259.16113 |     259.16022 |      -0.77201 |       0.27127 |       0.13206 |     180.00000 |       2.40664 |      -0.17153 |  -10814.67480 |     500.43829 |  -29134.48438 |       0.00000 |       0.00042 |       0.00000 |       0.00017 |       0.00000 |    1890.22852 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      62.51316 |      78.69145 |      78.75000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    1639.00000 |     298.00000 |     157.44145 |       0.00000 |    2094.44141 |    2550.00000 |       0.00000 |      -2.28845 |       1.93594 |       2.45212 |      -0.22715 |      62.51236 |       0.21983 |     466.59622 |     817.44299 |     808.96655 |      -1.18209 |      -0.39885 |       0.33741 |      -0.20000 |       0.20000 |       2.20336 |      -0.32991 |       0.52300 |       0.48734 |       0.08286 |       0.03946 |       0.01333 |       0.01243 |      -0.22635 |      -5.10942 |      -1.37675 |      -1.03544 |       0.09047 |       0.23573 |       0.13825 |       0.11014 | 
    245.63940 |      44.58149 |       8.22664 |       0.00000 |      12.01238 |      13.01238 |     985.47321 |       2.80900 |       2.80257 |       2.87566 |       0.00117 |       3.23254 |       3.30925 |       0.00134 |       0.00438 |       0.01687 |       0.99788 |       0.07052 |       0.00398 |       0.00000 |       2.50000 |       5.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       1.00000 |       1.00000 |       0.00000 |       0.00000 |      -0.06872 |      -0.00318 |       0.00000 |       2.25889 |      -0.01697 |     259.93314 |     259.16113 |     259.16043 |      -0.77201 |       3.21522 |       2.27955 |     180.00000 |       3.43982 |      -0.16742 |  -10814.67480 |     500.43835 |  -29134.48438 |       0.00000 |       0.00060 |       0.00000 |       0.00035 |       0.00000 |    1890.22876 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      62.87522 |      78.69145 |      78.75000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    1639.00000 |     298.00000 |     157.44145 |       0.00000 |    2094.44141 |    2550.00000 |       0.00000 |      -0.44798 |       2.03672 |       3.16748 |      -0.20877 |      62.87442 |       0.23666 |     467.93130 |     815.53503 |     807.08887 |      -0.21995 |      -0.08199 |       0.37276 |      -0.20000 |       0.20000 |       2.16348 |       0.03846 |       0.78216 |       0.78550 |       0.08397 |       0.04208 |       0.02113 |       0.02163 |       0.17474 |      -4.82276 |      -1.49882 |      -1.40825 |       0.09889 |       0.19041 |       0.16217 |       0.12856 | 
    245.74551 |      44.67963 |       8.32479 |       0.00000 |      12.01241 |      13.01241 |     985.47321 |       2.70647 |       2.71703 |       2.78789 |       0.00119 |       3.11455 |       3.20824 |       0.00137 |       0.00424 |       0.02705 |       0.99771 |       0.07059 |       0.00437 |       0.00000 |       2.50000 |       5.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       1.00000 |       1.00000 |       0.00000 |       0.00000 |      -0.07798 |      -0.00450 |       0.00000 |       2.25148 |      -0.01732 |     259.93314 |     259.16113 |     259.16064 |      -0.77201 |       6.50231 |       4.78433 |     180.00000 |       3.49728 |      -0.16335 |  -10814.67480 |     500.43842 |  -29134.48438 |       0.00000 |       0.00061 |       0.00000 |       0.00055 |       0.00000 |    1890.22900 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      63.29826 |      78.69145 |      78.75000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    1639.00000 |     298.00000 |     157.44145 |       0.00000 |    2094.44141 |    2550.00000 |       0.00000 |       0.69734 |       2.28680 |       3.90612 |      -0.18631 |      63.29748 |       0.25558 |     469.76288 |     813.81445 |     805.34283 |       0.30494 |       0.13579 |       0.44530 |      -0.20000 |       0.20000 |       2.04402 |       0.37534 |       1.01252 |       1.07191 |       0.08792 |       0.04900 |       0.03292 |       0.03723 |       0.14105 |      -4.62799 |      -1.62211 |      -1.79252 |       0.09385 |       0.15164 |       0.19015 |       0.15231 | 
    245.85104 |      44.77925 |       8.42441 |       0.00000 |      12.01244 |      13.01244 |     985.47321 |       2.58993 |       2.63199 |       2.70063 |       0.00101 |       2.98044 |       3.10783 |       0.00116 |       0.00411 |       0.03570 |       0.99776 |       0.07075 |       0.00471 |       0.00000 |       2.50000 |       5.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       1.00000 |       1.00000 |       0.00000 |       0.00000 |      -0.06933 |      -0.00487 |       0.00000 |       2.24414 |      -0.01777 |     259.93314 |     259.16113 |     259.16086 |      -0.77201 |       9.55621 |       7.58414 |     180.00000 |       2.98077 |      -0.15933 |  -10814.67480 |     500.43848 |  -29134.48438 |       0.00000 |       0.00052 |       0.00000 |       0.00074 |       0.00000 |    1890.22913 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      63.74995 |      78.69145 |      78.75000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    1639.00000 |     298.00000 |     157.44145 |       0.00000 |    2094.44141 |    2550.00000 |       0.00000 |       1.39526 |       2.63802 |       4.64164 |      -0.16496 |      63.74918 |       0.27562 |     471.08987 |     813.04700 |     804.07642 |       0.52890 |       0.28954 |       0.54743 |      -0.20000 |       0.20000 |       1.85574 |       0.58663 |       1.16349 |       1.26983 |       0.09228 |       0.05702 |       0.04502 |       0.05444 |       0.18771 |      -4.53395 |      -1.74302 |      -2.17357 |       0.09306 |       0.12457 |       0.22087 |       0.18078 | 
    245.94495 |      44.86570 |       8.51085 |       0.00000 |      12.01247 |      13.01247 |     985.47321 |       2.49130 |       2.56597 |       2.63289 |       0.00080 |       2.86694 |       3.02988 |       0.00092 |       0.00401 |       0.04045 |       0.99780 |       0.07082 |       0.00515 |       0.00000 |       2.50000 |       5.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       1.00000 |       1.00000 |       0.00000 |       0.00000 |      -0.05571 |      -0.00274 |       0.00000 |       2.23880 |      -0.01809 |     259.93314 |     259.16113 |     259.16095 |      -0.77201 |      11.63274 |      10.12675 |     180.00000 |       2.34505 |      -0.15592 |  -10814.67480 |     500.43851 |  -29134.48438 |       0.00000 |       0.00041 |       0.00000 |       0.00087 |       0.00000 |    1890.22913 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      64.13798 |      78.69145 |      78.75000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    1639.00000 |     298.00000 |     157.44145 |       0.00000 |    2094.44141 |    2550.00000 |       0.00000 |       1.67449 |       2.99036 |       5.24666 |      -0.15036 |      64.13721 |       0.29295 |     471.86566 |     812.64545 |     803.43915 |       0.55996 |       0.36559 |       0.65288 |      -0.20000 |       0.20000 |       1.80152 |       0.65793 |       1.20203 |       1.32938 |       0.09934 |       0.06109 |       0.05140 |       0.06445 |       0.25039 |      -4.52328 |      -1.84219 |      -2.48743 |       0.09586 |       0.11318 |       0.24793 |       0.20788 | 
    246.04117 |      44.95272 |       8.59787 |       0.00000 |      12.01249 |      13.01249 |     985.47321 |       2.40152 |       2.50865 |       2.57407 |       0.00053 |       2.76362 |       2.96219 |       0.00061 |       0.00392 |       0.04275 |       0.99785 |       0.07083 |       0.00559 |       0.00000 |       2.50000 |       5.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       1.00000 |       1.00000 |       0.00000 |       0.00000 |      -0.03793 |      -0.00008 |       0.00000 |       2.23484 |      -0.01826 |     259.93314 |     259.16113 |     259.16095 |      -0.77201 |      13.00375 |      12.68730 |     180.00000 |       1.57310 |      -0.15256 |  -10814.67480 |     500.43854 |  -29134.48438 |       0.00000 |       0.00027 |       0.00000 |       0.00096 |       0.00000 |    1890.22937 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      64.51248 |      78.69145 |      78.75000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    1639.00000 |     298.00000 |     157.44145 |       0.00000 |    2094.44141 |    2550.00000 |       0.00000 |       1.51401 |       3.36934 |       5.78737 |      -0.14059 |      64.51168 |       0.30987 |     472.52737 |     812.33850 |     803.28992 |       0.44935 |       0.34583 |       0.76963 |      -0.20000 |       0.20000 |       1.77048 |       0.61548 |       1.17823 |       1.23597 |       0.10395 |       0.05912 |       0.05326 |       0.06319 |       0.28761 |      -4.55970 |      -1.93458 |      -2.78249 |       0.09861 |       0.11337 |       0.27395 |       0.23621 | 
    250.90747 |      45.01196 |       8.65710 |       0.00000 |      12.01251 |      13.01251 |     985.47321 |       2.34765 |       2.47512 |       2.53967 |       0.00020 |       2.70163 |       2.92259 |       0.00023 |       0.00386 |       0.04323 |       0.99717 |       0.07088 |       0.00595 |       0.00000 |       2.50000 |       5.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       1.00000 |       1.00000 |       0.00000 |       0.00000 |      -0.02624 |       0.00199 |       0.00000 |       2.23303 |      -0.01818 |     259.93314 |     259.16113 |     259.16095 |      -0.77201 |      13.48986 |      14.37857 |     180.00000 |       0.60140 |      -0.15031 |  -10814.67480 |     500.43857 |  -29134.48438 |       0.00000 |       0.00010 |       0.00000 |       0.00101 |       0.00000 |    1890.22937 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      64.75527 |      78.69145 |      78.75000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    1639.00000 |     298.00000 |     157.44145 |       0.00000 |    2094.44141 |    2550.00000 |       0.00000 |       1.27073 |       3.65046 |       6.09991 |      -0.13699 |      64.75446 |       0.32090 |     472.19357 |     811.76648 |     802.99310 |       0.34810 |       0.29818 |       0.85659 |      -0.20000 |       0.20000 |       1.69856 |       0.52982 |       1.13844 |       1.17244 |       0.10198 |       0.05447 |       0.05222 |       0.06141 |       0.32561 |      -4.56608 |      -1.99236 |      -2.96982 |       0.10169 |       0.12386 |       0.29000 |       0.25555 | 
    251.31598 |      45.10239 |       8.74754 |       0.00000 |      12.01254 |      13.01254 |     985.47321 |       2.27990 |       2.43258 |       2.49602 |       0.00006 |       2.62366 |       2.87237 |       0.00007 |       0.00380 |       0.03991 |       0.99772 |       0.07102 |       0.00624 |       0.00000 |       2.50000 |       5.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       1.00000 |       1.00000 |       0.00000 |       0.00000 |      -0.00441 |       0.00367 |       0.00000 |       2.23176 |      -0.01796 |     259.93314 |     259.16113 |     259.16089 |      -0.77201 |      13.52809 |      16.80490 |     180.00000 |      -0.19024 |      -0.14694 |  -10814.67480 |     500.43857 |  -29134.48438 |       0.00000 |      -0.00003 |       0.00000 |       0.00101 |       0.00000 |    1890.22937 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      65.09947 |      78.69145 |      78.75000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    1639.00000 |     298.00000 |     157.44145 |       0.00000 |    2094.44141 |    2550.00000 |       0.00000 |       0.69772 |       4.02643 |       6.50177 |      -0.13606 |      65.09862 |       0.33675 |     472.50375 |     812.46637 |     803.70978 |       0.17329 |       0.16950 |       0.97814 |      -0.20000 |       0.20000 |       1.64946 |       0.45510 |       1.05629 |       1.10278 |       0.10028 |       0.05256 |       0.04804 |       0.05878 |       0.23020 |      -4.71691 |      -2.06970 |      -3.23231 |       0.09863 |       0.13471 |       0.30977 |       0.28429 | 
