
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Mach,ratio |   __VVI,__fpm |   Gload,norml |   Gload,axial |   Gload,_side |   ____Q,rad/s |   ____P,rad/s |   ____R,rad/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,south |   __lon,_west |   alt_1,ftmsl |   alt_2,ftmsl |   alt_3,ftmsl |   alt_4,ftmsl |   alt_5,ftmsl |   alt_6,ftmsl |   alt_7,ftmsl |   alt_8,ftmsl |   thrst,_1,lb |   _fuel,_1_lb |   _fuel,_2_lb |   _fuel,_3_lb |   _fuel,_4_lb |   _fuel,_5_lb |   _fuel,_6_lb |   _fuel,_7_lb |   _fuel,_8_lb |   empty,___lb |   payld,___lb |   _fuel,totlb |   jetti,___lb |   curnt,___lb |   maxim,___lb |   ___cg,ftref |   _lift,___lb |   _drag,___lb |   _side,___lb |   norml,___lb |   axial,___lb |   _side,___lb |   __L/D,ratio |   ___cl,total |   ___cd,total |   __L/D,*etaP | 
    185.66783 |       0.00000 |       0.00000 |       0.00000 |       2.95385 |      19.42885 |     768.27295 |      -1.#IND0 |       0.00000 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      47.46363 |    -122.30775 |     397.76001 |       0.00000 |       1.00000 |       0.00000 |      46.00000 |    -124.00000 |     397.76001 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    3300.00024 |    5200.00049 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
    185.74033 |       0.05025 |       0.05025 |       0.00000 |       2.95386 |      18.95386 |     768.27295 |       0.00239 |       0.00000 |       2.64377 |      -0.16182 |       0.05830 |       0.14540 |       0.08429 |      -0.00065 |      -1.01234 |       0.36996 |     180.48083 |     161.34125 |     -94.33881 |      -1.85866 |     331.32504 |      85.66603 |       0.00000 |      47.46363 |    -122.30775 |     397.89371 |       0.13428 |       1.00000 |      19.98794 |      46.00000 |    -124.00000 |     397.89371 |     382.01999 |    4999.99805 |     400.53464 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      14.94704 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |       0.00000 |      -0.00000 |       0.00000 |      -2.59553 |      14.71996 |       0.00000 |      -1.#IND0 |       0.00000 |      -0.00000 |      -1.#IND0 | 
    203.46519 |       0.10050 |       0.10050 |       0.00000 |       2.95388 |      18.95388 |     768.27295 |       0.00291 |       0.78591 |       1.30458 |      -0.27386 |       0.22971 |       0.20873 |       0.09593 |      -0.00162 |      -0.41136 |       0.64621 |     180.48004 |     161.33911 |    -100.44814 |      -8.02309 |     320.91199 |      76.48832 |       0.01049 |      47.46363 |    -122.30775 |     398.05237 |       0.29442 |       1.00000 |      38.98456 |      46.00000 |    -124.00000 |     398.05237 |     382.16473 |    4999.59619 |     400.71198 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      15.45160 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |       0.45294 |       2.21360 |       0.04725 |      -2.68314 |      15.21685 |       0.00000 |       0.20462 |       0.15653 |       0.76498 |       0.00000 | 
    205.66321 |       0.20101 |       0.20101 |       0.00000 |       2.95391 |      18.95391 |     768.27295 |       0.00069 |       3.19861 |       0.16174 |      -0.00000 |       0.00000 |       0.19942 |       0.12778 |       0.00000 |       0.78244 |       1.39551 |     180.48303 |     161.33948 |     -88.75269 |       1.26797 |     180.00000 |      87.54549 |       0.12081 |      47.46363 |    -122.30775 |     398.19763 |       0.44164 |       1.00000 |      74.19899 |      46.00000 |    -124.00000 |     398.19763 |     382.71432 |    4998.88770 |     400.86255 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      16.58933 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |       0.12634 |       1.67569 |      -0.14556 |      -2.88071 |      16.33730 |       0.00000 |       0.07540 |       0.78422 |      10.40122 |       0.00000 | 
    205.79752 |       0.30151 |       0.30151 |       0.00000 |       2.95393 |      18.95393 |     768.27295 |       0.00086 |       3.13535 |       0.60836 |      -0.00000 |       0.00000 |       0.05242 |       0.01792 |       0.00000 |       1.33431 |       1.66292 |     180.49706 |     161.35226 |      91.79954 |      -1.53501 |     180.00000 |     -88.03506 |       0.11779 |      47.46363 |    -122.30775 |     398.13403 |       0.37816 |       1.00000 |     105.94585 |      46.00000 |    -124.00000 |     398.13403 |     383.31577 |    4998.52881 |     400.82791 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      17.84732 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |       0.00614 |       0.42320 |       0.07132 |      -3.09916 |      17.57618 |       0.00000 |       0.01451 |       0.02441 |       1.68275 |       0.00000 | 
    205.93117 |       0.40201 |       0.40201 |       0.00000 |       2.95396 |      18.95396 |     768.27295 |       0.00068 |       0.80383 |       1.25459 |      -0.00000 |       0.00000 |      -0.03975 |      -0.01393 |       0.00000 |       1.12536 |       1.58920 |     180.49104 |     161.34671 |      91.59045 |      -1.46145 |     180.00000 |     -87.51582 |       0.11485 |      47.46363 |    -122.30775 |     398.03714 |       0.28114 |       1.00000 |     134.54222 |      46.00000 |    -124.00000 |     398.03714 |     383.70544 |    4999.16211 |     400.80795 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      19.18503 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |      -0.01573 |       0.43151 |      -0.01116 |      -3.33145 |      18.89357 |       0.00000 |      -0.03645 |      -0.10000 |       2.74367 |      -0.00000 | 
    206.06183 |       0.50251 |       0.50251 |       0.00000 |       2.95399 |      18.95399 |     768.27295 |       0.00021 |      -0.30714 |       1.25724 |      -0.00000 |       0.00000 |      -0.02342 |      -0.01197 |       0.00000 |       0.97476 |       1.52060 |     180.48691 |     161.34290 |     -88.56024 |       1.39294 |     180.00000 |      81.89819 |       0.11198 |      47.46363 |    -122.30775 |     398.03925 |       0.28319 |       1.00000 |     160.34334 |      46.00000 |    -124.00000 |     398.03925 |     383.77591 |    5001.31689 |     400.79681 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      20.66866 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |       0.00045 |      -0.01132 |      -0.00014 |      -3.58908 |      20.35466 |       0.00000 |      -0.03993 |       0.03095 |      -0.77508 |      -0.00000 | 
    206.21193 |       0.60302 |       0.60302 |       0.00000 |       2.95402 |      18.95402 |     768.27295 |       0.00031 |       0.55976 |       0.96679 |      -0.00000 |       0.00000 |      -0.02715 |      -0.01052 |       0.00000 |       0.82635 |       1.45553 |     180.48300 |     161.33936 |     -88.70874 |       1.32796 |     180.00000 |      84.55139 |       0.10919 |      47.46363 |    -122.30775 |     398.07645 |       0.32030 |       1.00000 |     183.64555 |      46.00000 |    -124.00000 |     398.07645 |     383.55237 |    5005.32275 |     400.80188 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      22.27493 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |      -0.00066 |       0.07870 |       0.00733 |      -3.86800 |      21.93652 |       0.00000 |      -0.00839 |      -0.02030 |       2.41869 |      -0.00000 | 
    206.34389 |       0.70352 |       0.70352 |       0.00000 |       2.95404 |      18.95404 |     768.27295 |       0.00002 |       1.27184 |       0.89826 |      -0.00000 |       0.00000 |      -0.02341 |      -0.00540 |       0.00000 |       0.68042 |       1.41584 |     180.47934 |     161.33600 |     -88.85474 |       1.28833 |     180.00000 |      32.90995 |       0.10646 |      47.46363 |    -122.30775 |     398.08679 |       0.33056 |       1.00000 |     204.66687 |      46.00000 |    -124.00000 |     398.08679 |     383.17899 |    5011.32520 |     400.79791 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      24.03896 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |      -0.00061 |       0.02925 |       0.00482 |      -4.17432 |      23.67375 |       0.00000 |      -0.02084 |      -4.91824 |     235.94566 |      -0.00000 | 
    206.47560 |       0.80402 |       0.80402 |       0.00000 |       2.95407 |      18.95407 |     768.27295 |       0.00010 |       1.04354 |       0.98247 |      -0.00000 |       0.00000 |      -0.00815 |      -0.00159 |       0.00000 |       0.61071 |       1.40205 |     180.47762 |     161.33441 |      91.07552 |      -1.27455 |     180.00000 |     -73.20801 |       0.10380 |      47.46363 |    -122.30775 |     398.07727 |       0.32099 |       1.00000 |     223.61586 |      46.00000 |    -124.00000 |     398.07727 |     382.88385 |    5019.33643 |     400.81943 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      25.97081 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |      -0.00008 |       0.00114 |       0.00022 |      -4.50978 |      25.57625 |       0.00000 |      -0.06698 |      -0.02359 |       0.35218 |      -0.00000 | 
