
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Mach,ratio |   __VVI,__fpm |   Gload,norml |   Gload,axial |   Gload,_side |   ____Q,rad/s |   ____P,rad/s |   ____R,rad/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,south |   __lon,_west |   alt_1,ftmsl |   alt_2,ftmsl |   alt_3,ftmsl |   alt_4,ftmsl |   alt_5,ftmsl |   alt_6,ftmsl |   alt_7,ftmsl |   alt_8,ftmsl |   thrst,_1,lb |   _fuel,_1_lb |   _fuel,_2_lb |   _fuel,_3_lb |   _fuel,_4_lb |   _fuel,_5_lb |   _fuel,_6_lb |   _fuel,_7_lb |   _fuel,_8_lb |   empty,___lb |   payld,___lb |   _fuel,totlb |   jetti,___lb |   curnt,___lb |   maxim,___lb |   ___cg,ftref |   _lift,___lb |   _drag,___lb |   _side,___lb |   norml,___lb |   axial,___lb |   _side,___lb |   __L/D,ratio |   ___cl,total |   ___cd,total |   __L/D,*etaP | 
     74.57897 |       0.00000 |       0.00000 |       0.00000 |       2.95385 |      18.96270 |     186.01031 |      -1.#IND0 |       0.00000 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      47.46363 |    -122.30776 |     397.58957 |       0.00000 |       1.00000 |       0.00000 |      46.00000 |    -124.00000 |     397.58957 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    3300.00024 |    5200.00049 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     74.65387 |       0.05025 |       0.05025 |       0.00000 |       2.95387 |      18.95387 |     186.01031 |       0.00239 |       0.00000 |       2.63904 |      -0.16153 |       0.05820 |       0.14665 |       0.08124 |      -0.00054 |      -1.00875 |       0.36113 |     180.48114 |     161.34155 |     -94.33897 |      -1.86988 |     331.32117 |      85.66158 |       0.00000 |      47.46363 |    -122.30776 |     397.72290 |       0.13398 |       1.00000 |      19.97938 |      46.00000 |    -124.00000 |     397.72290 |     380.08563 |    5000.00000 |     400.52469 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      14.94711 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |       0.00000 |      -0.00000 |       0.00000 |      -2.59554 |      14.72003 |       0.00000 |      -1.#IND0 |       0.00000 |      -0.00000 |      -1.#IND0 | 
     90.79906 |       0.10050 |       0.10050 |       0.00000 |       2.95388 |      18.95388 |     186.01033 |       0.00290 |       0.78365 |       1.30345 |      -0.27567 |       0.22008 |       0.21034 |       0.09319 |      -0.00163 |      -0.40312 |       0.62948 |     180.48026 |     161.33932 |    -100.51938 |      -7.78109 |     321.99246 |      76.58662 |       0.01043 |      47.46363 |    -122.30776 |     397.88107 |       0.29363 |       1.00000 |      38.96782 |      46.00000 |    -124.00000 |     397.88107 |     380.22812 |    5000.22656 |     400.70285 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      15.45177 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |       0.44675 |       2.18479 |       0.04216 |      -2.68317 |      15.21702 |       0.00000 |       0.20448 |       0.15544 |       0.76015 |       0.00000 | 
     93.31798 |       0.20101 |       0.20101 |       0.00000 |       2.95391 |      18.95391 |     186.01038 |       0.00068 |       3.18779 |       0.16359 |      -0.00000 |       0.00000 |       0.20110 |       0.12372 |       0.00000 |       0.80134 |       1.35514 |     180.48311 |     161.33951 |     -88.73380 |       1.22762 |     180.00000 |      87.52634 |       0.12088 |      47.46363 |    -122.30776 |     398.02560 |       0.44018 |       1.00000 |      74.16698 |      46.00000 |    -124.00000 |     398.02560 |     380.72198 |    5000.77246 |     400.85562 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      16.58954 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |       0.12488 |       1.62742 |      -0.13808 |      -2.88074 |      16.33751 |       0.00000 |       0.07674 |       0.78733 |      10.26007 |       0.00000 | 
     93.45137 |       0.30151 |       0.30151 |       0.00000 |       2.95393 |      18.95394 |     186.01041 |       0.00086 |       3.12091 |       0.61054 |      -0.00000 |       0.00000 |       0.05284 |       0.01706 |       0.00000 |       1.35702 |       1.61239 |     180.49681 |     161.35197 |      91.82222 |      -1.48450 |     180.00000 |     -88.02979 |       0.11787 |      47.46363 |    -122.30776 |     397.96210 |       0.37667 |       1.00000 |     105.90005 |      46.00000 |    -124.00000 |     397.96210 |     381.13593 |    5001.66406 |     400.82156 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      17.84740 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |       0.00531 |       0.42183 |       0.07193 |      -3.09917 |      17.57626 |       0.00000 |       0.01259 |       0.02123 |       1.68629 |       0.00000 | 
     93.58181 |       0.40201 |       0.40201 |       0.00000 |       2.95396 |      18.95396 |     186.01044 |       0.00067 |       0.79734 |       1.25461 |      -0.00000 |       0.00000 |      -0.03985 |      -0.01339 |       0.00000 |       1.14851 |       1.54082 |     180.49100 |     161.34663 |      91.61358 |      -1.41308 |     180.00000 |     -87.50204 |       0.11492 |      47.46363 |    -122.30776 |     397.86560 |       0.28018 |       1.00000 |     134.48416 |      46.00000 |    -124.00000 |     397.86560 |     381.25238 |    5003.54053 |     400.79974 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      19.18518 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |      -0.01583 |       0.42843 |      -0.01058 |      -3.33147 |      18.89372 |       0.00000 |      -0.03694 |      -0.10174 |       2.75442 |      -0.00000 | 
     93.71090 |       0.50251 |       0.50251 |       0.00000 |       2.95399 |      18.95399 |     186.01047 |       0.00021 |      -0.30852 |       1.25671 |      -0.00000 |       0.00000 |      -0.02373 |      -0.01189 |       0.00000 |       0.99645 |       1.47320 |     180.48695 |     161.34291 |     -88.53857 |       1.34556 |     180.00000 |      81.86871 |       0.11205 |      47.46363 |    -122.30776 |     397.86771 |       0.28227 |       1.00000 |     160.27423 |      46.00000 |    -124.00000 |     397.86771 |     381.08789 |    5006.92920 |     400.78781 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      20.66877 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |       0.00045 |      -0.01111 |      -0.00009 |      -3.58910 |      20.35477 |       0.00000 |      -0.04082 |       0.03127 |      -0.76612 |      -0.00000 | 
     93.84031 |       0.60302 |       0.60302 |       0.00000 |       2.95402 |      18.95402 |     186.01051 |       0.00031 |       0.55554 |       0.96713 |      -0.00000 |       0.00000 |      -0.02738 |      -0.01035 |       0.00000 |       0.84658 |       1.41038 |     180.48314 |     161.33945 |     -88.68853 |       1.28282 |     180.00000 |      84.53757 |       0.10926 |      47.46363 |    -122.30776 |     397.90475 |       0.31935 |       1.00000 |     183.56635 |      46.00000 |    -124.00000 |     397.90475 |     380.83209 |    5012.15918 |     400.79230 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      22.27506 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |      -0.00065 |       0.07812 |       0.00742 |      -3.86802 |      21.93665 |       0.00000 |      -0.00832 |      -0.02009 |       2.41315 |      -0.00000 | 
     93.97108 |       0.70352 |       0.70352 |       0.00000 |       2.95405 |      18.95405 |     186.01054 |       0.00002 |       1.26595 |       0.89745 |      -0.00000 |       0.00000 |      -0.02347 |      -0.00516 |       0.00000 |       0.69995 |       1.37269 |     180.47957 |     161.33618 |     -88.83522 |       1.24518 |     180.00000 |      30.53199 |       0.10653 |      47.46363 |    -122.30776 |     397.91498 |       0.32957 |       1.00000 |     204.57858 |      46.00000 |    -124.00000 |     397.91498 |     380.67880 |    5019.37549 |     400.78732 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      24.03908 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |      -0.00060 |       0.02909 |       0.00487 |      -4.17434 |      23.67388 |       0.00000 |      -0.02075 |      -5.86162 |     282.49564 |      -0.00000 | 
     94.10034 |       0.80402 |       0.80402 |       0.00000 |       2.95407 |      18.95407 |     186.01057 |       0.00010 |       1.03094 |       0.98302 |      -0.00000 |       0.00000 |      -0.00803 |      -0.00157 |       0.00000 |       0.63066 |       1.35922 |     180.47791 |     161.33467 |      91.09546 |      -1.23174 |     180.00000 |     -73.45344 |       0.10387 |      47.46363 |    -122.30776 |     397.90524 |       0.31984 |       1.00000 |     223.51927 |      46.00000 |    -124.00000 |     397.90524 |     380.69034 |    5028.58984 |     400.81491 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      25.97090 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |      -0.00010 |       0.00128 |       0.00020 |      -4.50980 |      25.57635 |       0.00000 |      -0.07961 |      -0.03045 |       0.38251 |      -0.00000 | 
