  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Mach,ratio |   __VVI,__fpm |   Gload,norml |   Gload,axial |   Gload,_side |   ____Q,rad/s |   ____P,rad/s |   ____R,rad/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,south |   __lon,_west |   alt_1,ftmsl |   alt_2,ftmsl |   alt_3,ftmsl |   alt_4,ftmsl |   alt_5,ftmsl |   alt_6,ftmsl |   alt_7,ftmsl |   alt_8,ftmsl |   thrst,_1,lb |   _fuel,_1_lb |   _fuel,_2_lb |   _fuel,_3_lb |   _fuel,_4_lb |   _fuel,_5_lb |   _fuel,_6_lb |   _fuel,_7_lb |   _fuel,_8_lb |   empty,___lb |   payld,___lb |   _fuel,totlb |   jetti,___lb |   curnt,___lb |   maxim,___lb |   ___cg,ftref |   _lift,___lb |   _drag,___lb |   _side,___lb |   norml,___lb |   axial,___lb |   _side,___lb |   __L/D,ratio |   ___cl,total |   ___cd,total |   __L/D,*etaP | 
     54.24156 |       0.00000 |       0.00000 |       0.00000 |       2.95385 |      18.95824 |     159.06247 |      -1.#IND0 |       0.00000 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      47.46363 |    -122.30775 |     397.71194 |       0.00000 |       1.00000 |       0.00000 |      46.00000 |    -124.00000 |     397.71194 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    3300.00024 |    5200.00049 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     54.32492 |       0.05025 |       0.05025 |       0.00000 |       2.95386 |      18.95386 |     159.06247 |       0.00239 |       0.00000 |       2.64324 |      -0.15868 |       0.05830 |       0.14641 |       0.08431 |      -0.00064 |      -1.00942 |       0.36999 |     180.48087 |     161.34128 |     -94.22861 |      -1.85952 |     330.61227 |      85.75908 |       0.00000 |      47.46363 |    -122.30775 |     397.84558 |       0.13374 |       1.00000 |      19.98553 |      46.00000 |    -124.00000 |     397.84558 |     380.09573 |    4999.99756 |     406.32639 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      28.21239 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |       0.00000 |      -0.00000 |       0.00000 |      -4.89903 |      27.78378 |       0.00000 |      -1.#IND0 |       0.00000 |      -0.00000 |      -1.#IND0 | 
     65.57401 |       0.10050 |       0.10050 |       0.00000 |       2.95388 |      18.95388 |     159.06248 |       0.00291 |       0.78562 |       1.30674 |      -0.27194 |       0.23039 |       0.20969 |       0.09583 |      -0.00169 |      -0.40568 |       0.64596 |     180.47990 |     161.33897 |    -100.29235 |      -8.03988 |     320.45493 |      76.59348 |       0.01048 |      47.46363 |    -122.30775 |     398.00439 |       0.29464 |       1.00000 |      38.97985 |      46.00000 |    -124.00000 |     398.00439 |     380.23846 |    5000.06592 |     406.46292 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      41.94118 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |       0.44286 |       2.21230 |       0.04633 |      -7.28301 |      41.30400 |       0.00000 |       0.20018 |       0.15294 |       0.76399 |       0.00000 | 
     67.93542 |       0.20101 |       0.20101 |       0.00000 |       2.95391 |      18.95391 |     159.06252 |       0.00068 |       3.19755 |       0.16158 |      -0.00000 |       0.00000 |       0.20036 |       0.12780 |       0.00000 |       0.79475 |       1.39539 |     180.48253 |     161.33894 |     -88.74037 |       1.26784 |     180.00000 |      87.53552 |       0.12051 |      47.46363 |    -122.30775 |     398.14932 |       0.44108 |       1.00000 |      74.19002 |      46.00000 |    -124.00000 |     398.14932 |     380.73312 |    5001.83447 |     406.95297 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      69.57995 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |       0.11986 |       1.66697 |      -0.14824 |     -12.08243 |      68.52287 |       0.00000 |       0.07190 |       0.75002 |      10.43142 |       0.00000 | 
     68.06495 |       0.30151 |       0.30151 |       0.00000 |       2.95393 |      18.95393 |     159.06256 |       0.00086 |       3.13023 |       0.60848 |      -0.00000 |       0.00000 |       0.05315 |       0.01776 |       0.00000 |       1.35105 |       1.66185 |     180.49667 |     161.35184 |      91.81629 |      -1.53393 |     180.00000 |     -88.03876 |       0.11750 |      47.46363 |    -122.30775 |     398.08551 |       0.37727 |       1.00000 |     105.93296 |      46.00000 |    -124.00000 |     398.08551 |     381.14780 |    5006.00488 |     407.40314 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      97.42390 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |       0.00603 |       0.42740 |       0.07209 |     -16.91749 |      95.94382 |       0.00000 |       0.01411 |       0.02389 |       1.69302 |       0.00000 | 
     68.19213 |       0.40201 |       0.40201 |       0.00000 |       2.95396 |      18.95396 |     159.06259 |       0.00068 |       0.79632 |       1.25390 |      -0.00000 |       0.00000 |      -0.03875 |      -0.01382 |       0.00000 |       1.14742 |       1.58848 |     180.49083 |     161.34644 |      91.61252 |      -1.46071 |     180.00000 |     -87.51980 |       0.11457 |      47.46363 |    -122.30775 |     397.98846 |       0.28022 |       1.00000 |     134.52579 |      46.00000 |    -124.00000 |     397.98846 |     381.26462 |    5012.76123 |     407.57278 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |     125.23441 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |      -0.01569 |       0.43344 |      -0.01096 |     -21.74673 |     123.33182 |       0.00000 |      -0.03619 |      -0.09943 |       2.74708 |      -0.00000 | 
     68.31837 |       0.50251 |       0.50251 |       0.00000 |       2.95399 |      18.95399 |     159.06262 |       0.00021 |      -0.31843 |       1.25693 |      -0.00000 |       0.00000 |      -0.02258 |      -0.01211 |       0.00000 |       1.00203 |       1.51979 |     180.48683 |     161.34276 |     -88.53296 |       1.39212 |     180.00000 |      81.83405 |       0.11171 |      47.46363 |    -122.30775 |     397.99039 |       0.28214 |       1.00000 |     160.32368 |      46.00000 |    -124.00000 |     397.99039 |     381.09998 |    5022.01660 |     407.47348 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |     153.30626 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |       0.00054 |      -0.01187 |      -0.00028 |     -26.62136 |     150.97719 |       0.00000 |      -0.04523 |       0.03734 |      -0.82561 |      -0.00000 | 
     68.44600 |       0.60302 |       0.60302 |       0.00000 |       2.95402 |      18.95402 |     159.06265 |       0.00031 |       0.54398 |       0.96577 |      -0.00000 |       0.00000 |      -0.02645 |      -0.01064 |       0.00000 |       0.85779 |       1.45534 |     180.48305 |     161.33931 |     -88.67728 |       1.32775 |     180.00000 |      84.51022 |       0.10892 |      47.46363 |    -122.30775 |     398.02731 |       0.31908 |       1.00000 |     183.62294 |      46.00000 |    -124.00000 |     398.02731 |     380.84363 |    5033.60693 |     407.24936 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |     181.42119 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |      -0.00067 |       0.07691 |       0.00708 |     -31.50346 |     178.66498 |       0.00000 |      -0.00876 |      -0.02102 |       2.39978 |      -0.00000 | 
     68.57210 |       0.70352 |       0.70352 |       0.00000 |       2.95404 |      18.95404 |     159.06270 |       0.00002 |       1.24880 |       0.89702 |      -0.00000 |       0.00000 |      -0.02272 |      -0.00557 |       0.00000 |       0.71583 |       1.41588 |     180.47948 |     161.33604 |     -88.81931 |       1.28835 |     180.00000 |      27.97912 |       0.10620 |      47.46363 |    -122.30775 |     398.03729 |       0.32906 |       1.00000 |     204.64153 |      46.00000 |    -124.00000 |     398.03729 |     380.68988 |    5047.37842 |     407.06552 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |     209.73241 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |      -0.00058 |       0.02798 |       0.00460 |     -36.41965 |     206.54610 |       0.00000 |      -0.02085 |      -6.98445 |     334.93121 |      -0.00000 | 
     68.69817 |       0.80402 |       0.80402 |       0.00000 |       2.95407 |      18.95407 |     159.06273 |       0.00010 |       1.00967 |       0.98183 |      -0.00000 |       0.00000 |      -0.00714 |      -0.00155 |       0.00000 |       0.65105 |       1.40281 |     180.47787 |     161.33458 |      91.11588 |      -1.27530 |     180.00000 |     -73.73329 |       0.10355 |      47.46363 |    -122.30775 |     398.02740 |       0.31914 |       1.00000 |     223.58795 |      46.00000 |    -124.00000 |     398.02740 |     380.70135 |    5063.18213 |     407.01590 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |     238.20369 |     425.00000 |     425.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    3100.00000 |     200.00029 |     850.00000 |       0.00000 |    4150.00049 |    5200.00049 |       0.00000 |      -0.00013 |       0.00147 |       0.00015 |     -41.36364 |     234.58484 |       0.00000 |      -0.09047 |      -0.03834 |       0.42374 |      -0.00000 | 
