# Note - 20374160
# ESC - E714011
# Poles - 2
# Gear Ratio - 1
# KV - 1100
# Graph Data - 13 Sessions - Saved Wednesday, January 22, 2014
# Start Of Session - Sample Time: 1.000
# Reset Source (Cause of reset):  Normal Boot-up Sequence, 255
# Voltage Cutoff: 9.54
# Current Cutoff: 105.0
# Temperature Cutoff: 289.7
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       , Gov. Gain   , BEC Voltage 
True        , True        , True        , True        , True        , True        , True        , True        , False       
0.9389      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9389      , 0.000       , 11.32       , 0.000       , 0.0         , 78.3        , 0           , 15          , 0.00        
0.9389      , 0.000       , 11.32       , 0.000       , 0.0         , 78.3        , 0           , 15          , 0.00        
0.9389      , 0.000       , 11.32       , 0.000       , 0.0         , 78.3        , 0           , 15          , 0.00        
0.9389      , 0.000       , 11.32       , 0.000       , 0.0         , 78.3        , 0           , 15          , 0.00        
1.0172      , 4.314       , 11.32       , 0.000       , 0.0         , 79.0        , 21092       , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 6461        , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 76.1        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 79.0        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 78.3        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 78.3        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 78.3        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 78.3        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 78.3        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 78.3        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 78.3        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 78.3        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 78.3        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 78.3        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 78.3        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 80.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 80.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 80.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 80.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 80.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 80.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 80.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 80.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 80.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 80.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 80.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 80.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 80.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 80.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 80.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 80.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 80.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 80.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 80.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 80.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 80.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 80.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.18       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.18       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.18       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.18       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.18       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.18       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.18       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
1.0016      , 1.176       , 11.32       , 0.000       , 0.0         , 81.2        , 10837       , 15          , 0.00        
